addr,pre-run-data,post-run-data
0,0,0
1,0,0
2,0,0
3,0,0
4,1,1
5,0,0
6,0,0
7,0,0
8,2,2
9,0,0
10,0,0
11,0,0
12,3,3
13,0,0
14,0,0
15,0,0
16,4,4
17,0,0
18,0,0
19,0,0
20,5,5
21,0,0
22,0,0
23,0,0
24,6,6
25,0,0
26,0,0
27,0,0
28,7,7
29,0,0
30,0,0
31,0,0
32,8,8
33,0,0
34,0,0
35,0,0
36,9,9
37,0,0
38,0,0
39,0,0
40,10,10
41,0,0
42,0,0
43,0,0
44,11,11
45,0,0
46,0,0
47,0,0
48,12,12
49,0,0
50,0,0
51,0,0
52,13,13
53,0,0
54,0,0
55,0,0
56,14,14
57,0,0
58,0,0
59,0,0
60,15,15
61,0,0
62,0,0
63,0,0
64,2,2
65,0,0
66,0,0
67,0,0
68,5,5
69,0,0
70,0,0
71,0,0
72,8,8
73,0,0
74,0,0
75,0,0
76,11,11
77,0,0
78,0,0
79,0,0
80,14,14
81,0,0
82,0,0
83,0,0
84,17,17
85,0,0
86,0,0
87,0,0
88,20,20
89,0,0
90,0,0
91,0,0
92,23,23
93,0,0
94,0,0
95,0,0
96,26,26
97,0,0
98,0,0
99,0,0
100,29,29
101,0,0
102,0,0
103,0,0
104,32,32
105,0,0
106,0,0
107,0,0
108,35,35
109,0,0
110,0,0
111,0,0
112,38,38
113,0,0
114,0,0
115,0,0
116,41,41
117,0,0
118,0,0
119,0,0
120,44,44
121,0,0
122,0,0
123,0,0
124,47,47
125,0,0
126,0,0
127,0,0
128,1,1
129,0,0
130,0,0
131,0,0
132,4,4
133,0,0
134,0,0
135,0,0
136,7,7
137,0,0
138,0,0
139,0,0
140,10,10
141,0,0
142,0,0
143,0,0
144,13,13
145,0,0
146,0,0
147,0,0
148,16,16
149,0,0
150,0,0
151,0,0
152,19,19
153,0,0
154,0,0
155,0,0
156,22,22
157,0,0
158,0,0
159,0,0
160,25,25
161,0,0
162,0,0
163,0,0
164,28,28
165,0,0
166,0,0
167,0,0
168,31,31
169,0,0
170,0,0
171,0,0
172,34,34
173,0,0
174,0,0
175,0,0
176,37,37
177,0,0
178,0,0
179,0,0
180,40,40
181,0,0
182,0,0
183,0,0
184,43,43
185,0,0
186,0,0
187,0,0
188,46,46
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,1,1
197,0,0
198,0,0
199,0,0
200,2,2
201,0,0
202,0,0
203,0,0
204,3,3
205,0,0
206,0,0
207,0,0
208,4,4
209,0,0
210,0,0
211,0,0
212,5,5
213,0,0
214,0,0
215,0,0
216,6,6
217,0,0
218,0,0
219,0,0
220,7,7
221,0,0
222,0,0
223,0,0
224,8,8
225,0,0
226,0,0
227,0,0
228,9,9
229,0,0
230,0,0
231,0,0
232,10,10
233,0,0
234,0,0
235,0,0
236,11,11
237,0,0
238,0,0
239,0,0
240,12,12
241,0,0
242,0,0
243,0,0
244,13,13
245,0,0
246,0,0
247,0,0
248,14,14
249,0,0
250,0,0
251,0,0
252,15,15
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,3,3
261,0,0
262,0,0
263,0,0
264,6,6
265,0,0
266,0,0
267,0,0
268,9,9
269,0,0
270,0,0
271,0,0
272,12,12
273,0,0
274,0,0
275,0,0
276,15,15
277,0,0
278,0,0
279,0,0
280,18,18
281,0,0
282,0,0
283,0,0
284,21,21
285,0,0
286,0,0
287,0,0
288,24,24
289,0,0
290,0,0
291,0,0
292,27,27
293,0,0
294,0,0
295,0,0
296,30,30
297,0,0
298,0,0
299,0,0
300,33,33
301,0,0
302,0,0
303,0,0
304,36,36
305,0,0
306,0,0
307,0,0
308,39,39
309,0,0
310,0,0
311,0,0
312,42,42
313,0,0
314,0,0
315,0,0
316,45,45
317,0,0
318,0,0
319,0,0
2024,0,0
2047,0,0
2048,0,0
2049,0,0
2050,0,0
2051,0,0
2052,0,1
2053,0,0
2054,0,0
2055,0,0
2056,0,1
2057,0,0
2058,0,0
2059,0,0
2060,0,2
2061,0,0
2062,0,0
2063,0,0
2064,0,2
2065,0,0
2066,0,0
2067,0,0
2068,0,2
2069,0,0
2070,0,0
2071,0,0
2072,0,2
2073,0,0
2074,0,0
2075,0,0
2076,0,2
2077,0,0
2078,0,0
2079,0,0
2080,0,2
2081,0,0
2082,0,0
2083,0,0
2084,0,2
2085,0,0
2086,0,0
2087,0,0
2088,0,2
2089,0,0
2090,0,0
2091,0,0
2092,0,2
2093,0,0
2094,0,0
2095,0,0
2096,0,2
2097,0,0
2098,0,0
2099,0,0
2100,0,2
2101,0,0
2102,0,0
2103,0,0
2104,0,2
2105,0,0
2106,0,0
2107,0,0
2108,0,2
2109,0,0
2110,0,0
2111,0,0
2112,0,0
2113,0,0
2114,0,0
2115,0,0
2116,0,2
2117,0,0
2118,0,0
2119,0,0
2120,0,2
2121,0,0
2122,0,0
2123,0,0
2124,0,2
2125,0,0
2126,0,0
2127,0,0
2128,0,2
2129,0,0
2130,0,0
2131,0,0
2132,0,2
2133,0,0
2134,0,0
2135,0,0
2136,0,2
2137,0,0
2138,0,0
2139,0,0
2140,0,2
2141,0,0
2142,0,0
2143,0,0
2144,0,2
2145,0,0
2146,0,0
2147,0,0
2148,0,2
2149,0,0
2150,0,0
2151,0,0
2152,0,2
2153,0,0
2154,0,0
2155,0,0
2156,0,2
2157,0,0
2158,0,0
2159,0,0
2160,0,2
2161,0,0
2162,0,0
2163,0,0
2164,0,2
2165,0,0
2166,0,0
2167,0,0
2168,0,2
2169,0,0
2170,0,0
2171,0,0
2172,0,2
2173,0,0
2174,0,0
2175,0,0
2176,0,5
2177,0,0
2178,0,0
2179,0,0
2180,0,29
2181,0,0
2182,0,0
2183,0,0
2184,0,77
2185,0,0
2186,0,0
2187,0,0
2188,0,149
2189,0,0
2190,0,0
2191,0,0
2192,0,245
2193,0,0
2194,0,0
2195,0,0
2196,0,109
2197,0,1
2198,0,0
2199,0,0
2200,0,253
2201,0,1
2202,0,0
2203,0,0
2204,0,165
2205,0,2
2206,0,0
2207,0,0
2208,0,101
2209,0,3
2210,0,0
2211,0,0
2212,0,61
2213,0,4
2214,0,0
2215,0,0
2216,0,45
2217,0,5
2218,0,0
2219,0,0
2220,0,53
2221,0,6
2222,0,0
2223,0,0
2224,0,85
2225,0,7
2226,0,0
2227,0,0
2228,0,141
2229,0,8
2230,0,0
2231,0,0
2232,0,221
2233,0,9
2234,0,0
2235,0,0
2236,0,69
2237,0,11
2238,0,0
2239,0,0
2240,0,0
2241,0,0
2242,0,0
2243,0,0
2244,1,1
2245,0,0
2246,0,0
2247,0,0
2248,2,2
2249,0,0
2250,0,0
2251,0,0
2252,3,3
2253,0,0
2254,0,0
2255,0,0
2256,4,4
2257,0,0
2258,0,0
2259,0,0
