addr,pre-run-data,post-run-data
0,94,94
1,46,46
2,171,171
3,111,111
4,206,206
5,133,133
6,102,102
7,128,128
8,48,48
9,89,89
10,220,220
11,137,137
12,183,183
13,60,60
14,159,159
15,168,168
16,183,183
17,245,245
18,105,105
19,198,198
20,121,121
21,112,112
22,15,15
23,70,70
24,73,73
25,41,41
26,211,211
27,207,207
28,254,254
29,21,21
30,76,76
31,103,103
32,234,234
33,220,220
34,236,236
35,125,125
36,147,147
37,172,172
38,227,227
39,59,59
40,218,218
41,133,133
42,48,48
43,244,244
44,36,36
45,144,144
46,124,124
47,147,147
48,130,130
49,204,204
50,48,48
51,75,75
52,17,17
53,96,96
54,211,211
55,112,112
56,203,203
57,229,229
58,227,227
59,132,132
60,239,239
61,117,117
62,159,159
63,23,23
64,15,15
65,23,23
66,192,192
67,148,148
68,30,30
69,119,119
70,19,19
71,228,228
72,213,213
73,146,146
74,240,240
75,96,96
76,58,58
77,231,231
78,111,111
79,119,119
80,187,187
81,191,191
82,53,53
83,20,20
84,165,165
85,200,200
86,38,38
87,240,240
88,112,112
89,90,90
90,214,214
91,144,144
92,74,74
93,189,189
94,185,185
95,231,231
96,129,129
97,233,233
98,161,161
99,194,194
100,36,36
101,33,33
102,135,135
103,50,50
104,84,84
105,123,123
106,81,81
107,162,162
108,30,30
109,198,198
110,232,232
111,69,69
112,181,181
113,114,114
114,207,207
115,176,176
116,145,145
117,83,83
118,72,72
119,130,130
120,197,197
121,40,40
122,25,25
123,32,32
124,219,219
125,238,238
126,241,241
127,101,101
128,134,134
129,211,211
130,130,130
131,9,9
132,23,23
133,128,128
134,202,202
135,139,139
136,210,210
137,168,168
138,211,211
139,171,171
140,9,9
141,70,70
142,34,34
143,206,206
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
2008,185,185
2009,143,143
2010,203,203
2011,112,112
2012,224,224
2013,245,245
2014,67,67
2015,178,178
2016,119,119
2017,145,145
2018,105,105
2019,232,232
2020,19,19
2021,84,84
2022,27,27
2023,80,80
2024,0,119
2025,0,53
2026,0,144
2027,0,209
2028,0,66
2029,0,213
2030,0,190
2031,0,219
2032,0,72
2033,0,47
2034,0,189
2035,0,64
2036,0,181
2037,0,13
2038,0,89
2039,0,229
2040,10,10
2041,0,0
2042,0,0
2043,0,0
2048,198,198
2049,99,99
2050,99,99
2051,165,165
2052,248,248
2053,124,124
2054,124,124
2055,132,132
2056,238,238
2057,119,119
2058,119,119
2059,153,153
2060,246,246
2061,123,123
2062,123,123
2063,141,141
2064,255,255
2065,242,242
2066,242,242
2067,13,13
2068,214,214
2069,107,107
2070,107,107
2071,189,189
2072,222,222
2073,111,111
2074,111,111
2075,177,177
2076,145,145
2077,197,197
2078,197,197
2079,84,84
2080,96,96
2081,48,48
2082,48,48
2083,80,80
2084,2,2
2085,1,1
2086,1,1
2087,3,3
2088,206,206
2089,103,103
2090,103,103
2091,169,169
2092,86,86
2093,43,43
2094,43,43
2095,125,125
2096,231,231
2097,254,254
2098,254,254
2099,25,25
2100,181,181
2101,215,215
2102,215,215
2103,98,98
2104,77,77
2105,171,171
